company_id,jobview_url,Position(Company),Description
837981224,https://www.linkedin.com/jobs/view/837981224/,GDC |SAP- FICO/SD/MM,We will be looking at subset of those skills to match the right people who can contribute to the KPMG&#x2019;s automated audit management system which has diverse areas to explore ...
848935971,https://www.linkedin.com/jobs/view/848935971/,Consultant| Associate Consultant |SQL Developer,"Extensive hands on Application development experience with one of Databases (MS SQL Server, Oracle, DB2, etc). Data sourcing experience, including data error handling and data ..."
839880114,https://www.linkedin.com/jobs/view/839880114/,KGS: MC : Big Data​ : Assistant Manager,"Proficient in SQL , in addition to one or more of modern programming language such as Java , Scala , Python etc. Experience with Spark, Kafka, Hadoop, Pig/Hive on any Hadoop ..."
827273331,https://www.linkedin.com/jobs/view/827273331/,KGS-MC-Consultant-Oracle HCM,"Prior experience with functional Oracle HCM implementation and participation in 1 or more Time and Labor Go-live. Experience with the business processes in Oracle HCM modules, ..."
766614112,https://www.linkedin.com/jobs/view/766614112/,KGS:: MC :: -AZURE Manager,We are looking for a strong talent to be a part of the analytics CoE team of KPMG. Hands on knowledge in deploying cloud based applications using .Net/C#/Python with source code...
737584700,https://www.linkedin.com/jobs/view/737584700/,Selenium Testing_Associate Consultant/ Consultant,&#xd8; Experience in Quality Assurance and Software Development with experience in automated testing of web applications. &#xd8; Experience in writing Unit and Integration Tests in C# ...
777151841,https://www.linkedin.com/jobs/view/777151841/,Assistant Manager / Manager- Internal Audit,Other qualified CAs OR Graduates with 4 - 6 years of relevant experience in risk consulting/ operations or compliance function role in the industry (Understanding of internal ...
692175767,https://www.linkedin.com/jobs/view/692175767/,KGS::MC-Associate Consultant/Consultant::TBM,"Basic programming skills in HTML,VBA, MS Access. Candidates who are looking for a data scientist. We do not need people with the following skillset. 2 to 3 years&#x2019; experience as..."
634881108,https://www.linkedin.com/jobs/view/634881108/,KGS-RC-FRM-Actuarial-Executive | Predictive Modeling,Applies advanced statistical techniques to develop predictive models for Life and general insurance along with displaying strong team players skills. Demonstrated experience ...
634880317,https://www.linkedin.com/jobs/view/634880317/,KGS-RC- Executive | Alteryx Specialist,"The candidate must have at Minimum 2-3 years of experience in a similar role, (6months- 1 year for Analyst). Excellent written and verbal communication skills and a Team Player."
634879971,https://www.linkedin.com/jobs/view/634879971/,Consultant- Data Modelling,Five to Seven years of experience in Accounting/Finance/Information Technology (IT) of which last 2 years should be in building MS Excel/MS Access based models and creating ...
634877965,https://www.linkedin.com/jobs/view/634877965/,KGS-RC-FRM-Market & Treasury Risk| Statistical Modeling,Minimum 2 years of experience working in the Risk Management/Analytics division in large banks and/or tier 1 consulting organizations like Big 4 or major risk consulting firms. ...
634877902,https://www.linkedin.com/jobs/view/634877902/,Associate Consultant/ Consultant- D&A and VBA Excel,Two to four years of experience in Accounting/Finance/Information Technology (IT) of which last 2 years should be in building MS Excel/MS Access based models and creating custom...
634877831,https://www.linkedin.com/jobs/view/634877831/,KGS - RC - FRM - Predictive Modeling - Executive,Main Purpose of the Role: Applies advanced statistical techniques to develop predictive models for Life and general insurance along with displaying strong team players skills. ...
809003203,https://www.linkedin.com/jobs/view/809003203/,KPMG - Senior - Actuarial - Non LIfe - General Insurance - Risk Consulting (3-5 yrs) Bangalore,For Experienced hiring:KPMG Global Services is hiring for Senior position for Actuarial. KPMG Actuarial Hiring :Experienced Candidate- (ref:iimjobs.com) Solvency II or Economic ...
844409454,https://www.linkedin.com/jobs/view/844409454/,KGS: MC: Microstrategy Developer,"Experience with advanced visualizations like Bubble ESRI Maps, Heat maps, Time Series, Waterfall graphs, Microcharts, and Scatterplots. Hands on experience with advanced ..."
826822971,https://www.linkedin.com/jobs/view/826822971/,Consultant_ Fullstack Developer,"Ability to design, develop, test and debug Web Applications using Azure, .NET MVC, C#, WebServices, Windows Services, SQL Server and Javascript, Kendo Grid controls, JQuery, ..."
806244228,https://www.linkedin.com/jobs/view/806244228/,Agile Consultant,"Has experience of undertaking agile transformation journey or enabled teams, organizations to be. Has comprehensive experience in engaging clients through talks, presentations ..."
838575918,https://www.linkedin.com/jobs/view/838575918/,Senior Financial Analyst,Description of the Role: Looking for finance enthusiasts with B.E./B.Tech (preferably Mechanical/Electrical but open to all streams) and MBA in Finance and 2-3 years&#x2019; ...
765511858,https://www.linkedin.com/jobs/view/765511858/,KGS-Risk Consulting-Trainee-Operations,The candidate is expected to have strong verbal and written communication skills. Experience on working with SharePoint 2013 &#x201c;Out-Of-The-Box&#x201d; &#x2013; OOTB features. Knowledge of MS...
848936383,https://www.linkedin.com/jobs/view/848936383/,GDC | Senior Associate | |D&A| Audit Analytics| BIG 4,Audit D&amp;A Solution Delivery &#x2013; Be a part of the team that is responsible for Audit D&amp;A service delivery and ensure timely and quality audit deliverables. Develop skillset to ...
839426274,https://www.linkedin.com/jobs/view/839426274/,KGS:: MC:: Associate Consultant/Consultant - Testing,With automation/scripting skills like python or java or .Net. Experience to performance testing positive. Using management tools like jira/HP ALM. Programming &amp; open to testing ...
848968314,https://www.linkedin.com/jobs/view/848968314/,KGS:: MC - KBS E Learning Developer :: Associate Consultant::,Strong e-learning testing/user experience testing experience with good bug finding and documentation skills. Roles and Responsibilities Associate Consultant - E-learning ...
634881447,https://www.linkedin.com/jobs/view/634881447/,OFSAA IFRS 9,"MUST TO HAVE: Implementation experience in Credit Risk OR IFRS-9 OR ALM/LRM OR Economic Capital. Prior experience in any implementation project, writing BRD/FSD. Qualifications ..."
